customer_id,tenure,monthly_charges,total_charges,contract,internet_service,payment_method,tech_support,online_security,paperless_billing,senior_citizen,dependents,partner,num_services,churn
CUST00000,52,80.68,4171.48,Month-to-month,Fiber optic,Credit card,No internet service,No,Yes,0,No,Yes,5,0
CUST00001,15,104.95,1521.42,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,1,No,No,5,0
CUST00002,61,74.12,4476.73,Two year,No,Bank transfer,No,Yes,Yes,0,No,Yes,7,0
CUST00003,21,100.39,2002.88,Two year,No,Electronic check,Yes,Yes,No,0,No,No,2,0
CUST00004,24,70.89,1731.7,One year,DSL,Electronic check,No,No internet service,No,0,Yes,Yes,3,0
CUST00005,3,26.24,107.86,Month-to-month,Fiber optic,Electronic check,Yes,No,No,0,No,No,1,0
CUST00006,22,58.39,1363.76,One year,DSL,Mailed check,No,No,Yes,0,No,No,1,0
CUST00007,53,64.44,3436.07,One year,No,Bank transfer,No,No internet service,Yes,0,No,No,4,0
CUST00008,2,34.16,101.08,Two year,DSL,Credit card,No internet service,No internet service,Yes,0,No,Yes,5,0
CUST00009,30,30.25,903.42,Month-to-month,Fiber optic,Credit card,No,No,Yes,1,Yes,No,7,0
CUST00010,38,73.55,2818.14,Month-to-month,Fiber optic,Electronic check,No internet service,No,Yes,0,No,No,5,0
CUST00011,2,28.51,111.5,Two year,No,Credit card,No internet service,No,No,0,Yes,No,2,0
CUST00012,64,50.29,3227.63,Two year,Fiber optic,Mailed check,No,Yes,Yes,0,No,No,5,0
CUST00013,60,94.46,5641.54,Month-to-month,DSL,Electronic check,Yes,No internet service,Yes,0,No,Yes,4,0
CUST00014,21,116.44,2434.23,Month-to-month,DSL,Mailed check,No,No,No,0,Yes,Yes,3,1
CUST00015,33,91.79,3066.66,Two year,DSL,Mailed check,Yes,No,Yes,0,Yes,Yes,3,1
CUST00016,58,119.26,6892.52,One year,No,Bank transfer,No,Yes,No,0,Yes,Yes,7,0
CUST00017,22,89.83,2020.71,One year,Fiber optic,Mailed check,No,No,Yes,0,No,No,4,1
CUST00018,49,49.38,2515.05,Month-to-month,DSL,Electronic check,No internet service,No,Yes,0,Yes,Yes,6,1
CUST00019,59,87.21,5190.46,Month-to-month,Fiber optic,Electronic check,No,Yes,No,0,No,No,2,1
CUST00020,42,90.22,3826.6,Month-to-month,DSL,Electronic check,No,Yes,Yes,0,Yes,No,3,0
CUST00021,60,57.17,3447.58,One year,No,Credit card,No,No,No,0,Yes,No,4,0
CUST00022,15,21.77,287.71,Month-to-month,DSL,Credit card,No,No,Yes,0,Yes,No,5,1
CUST00023,62,90.32,5556.46,Month-to-month,No,Credit card,No,Yes,Yes,0,No,Yes,3,0
CUST00024,62,22.17,1330.66,Month-to-month,Fiber optic,Electronic check,No,Yes,No,0,Yes,No,4,0
CUST00025,47,83.12,3934.38,Month-to-month,Fiber optic,Electronic check,No,No internet service,No,0,No,Yes,2,1
CUST00026,62,36.36,2234.85,Month-to-month,DSL,Credit card,No internet service,Yes,Yes,0,No,No,7,0
CUST00027,51,76.56,3903.11,Month-to-month,DSL,Credit card,No,Yes,Yes,0,No,Yes,6,0
CUST00028,55,70.39,3892.38,Two year,Fiber optic,Electronic check,Yes,No,Yes,0,No,Yes,3,0
CUST00029,64,21.35,1324.38,Month-to-month,Fiber optic,Bank transfer,No,Yes,Yes,0,Yes,No,7,0
CUST00030,3,56.29,143.77,Month-to-month,DSL,Electronic check,No,No,No,0,No,Yes,2,1
CUST00031,51,80.11,4101.75,Month-to-month,No,Credit card,No internet service,No,No,1,Yes,Yes,1,0
CUST00032,7,104.86,719.48,Two year,Fiber optic,Electronic check,Yes,Yes,No,1,No,Yes,2,0
CUST00033,21,108.86,2276.19,Month-to-month,DSL,Credit card,No,Yes,No,0,Yes,No,4,1
CUST00034,39,68.38,2615.19,Month-to-month,No,Electronic check,No,Yes,Yes,0,Yes,No,5,1
